model,questions,passed,pass_rate,errors,total_cost_usd,cost_per_question_usd,median_duration_s,pass_rate_easy,pass_rate_medium,pass_rate_hard,pass_rate_search,pass_rate_compare,pass_rate_qa
anthropic/claude-opus-4.8,53,51,0.962,0,5.9248,0.11179,8.0,1.000,0.941,0.944,0.889,1.000,1.000
anthropic/claude-sonnet-5,53,52,0.981,0,1.4496,0.02735,11.6,1.000,1.000,0.944,0.944,1.000,1.000
google/gemini-3-flash-preview,53,51,0.962,0,0.6410,0.01209,9.1,1.000,0.941,0.944,1.000,1.000,0.889
google/gemini-3.1-flash-lite,53,46,0.868,0,0.1557,0.00294,3.3,0.889,0.941,0.778,0.889,0.882,0.833
google/gemini-3.5-flash,53,51,0.962,0,2.3325,0.04401,13.2,1.000,0.941,0.944,1.000,1.000,0.889
google/gemma-4-31b-it:free,53,0,0.000,53,0.0000,0.00000,0.1,0.000,0.000,0.000,0.000,0.000,0.000
inception/mercury-2,53,44,0.830,0,0.1735,0.00327,6.7,1.000,0.647,0.833,0.833,0.706,0.944
nvidia/nemotron-3-ultra-550b-a55b:free,53,0,0.000,53,0.0000,0.00000,0.1,0.000,0.000,0.000,0.000,0.000,0.000
